,FINESS_O,FINESS_D,O,D,O_lat,O_lon,D_lat,D_lon,ID,id_coord,Results_value_17h,minutes_17h
2593,140000209,740000237,"49.2103044816168,-0.362919131071607","45.9464555842442,6.12189177562196",49.2103044816168,-0.362919131071607,45.9464555842442,6.12189177562196,140000209-740000237,"-0.362919131071607,49.2103044816168-6.12189177562196,45.9464555842442",7:20:00,440
2594,310783048,250006954,"43.60463651762,1.44421017210879","47.2249200833962,5.96476126928613",43.60463651762,1.44421017210879,47.2249200833962,5.96476126928613,310783048-250006954,"1.44421017210879,43.60463651762-5.96476126928613,47.2249200833962",7:20:00,440
2595,590000618,290004324,"50.3614814094598,3.49582464706077","48.3986897060075,-4.5287070724883",50.3614814094598,3.49582464706077,48.3986897060075,-4.5287070724883,590000618-290004324,"3.49582464706077,50.3614814094598--4.5287070724883,48.3986897060075",7:20:00,440
2596,640000162,920000650,"43.4831123974295,-1.48230729819466","48.8712105447387,2.22125484098355",43.4831123974295,-1.48230729819466,48.8712105447387,2.22125484098355,640000162-920000650,"-1.48230729819466,43.4831123974295-2.22125484098355,48.8712105447387",7:20:00,440
2597,740000237,140000209,"45.9464555842442,6.12189177562196","49.2103044816168,-0.362919131071607",45.9464555842442,6.12189177562196,49.2103044816168,-0.362919131071607,740000237-140000209,"6.12189177562196,45.9464555842442--0.362919131071607,49.2103044816168",7:20:00,440
2598,130780521,920100039,"43.3790936619422,5.36104667410839","48.907535090038,2.3084903884373",43.3790936619422,5.36104667410839,48.907535090038,2.3084903884373,130780521-920100039,"5.36104667410839,43.3790936619422-2.3084903884373,48.907535090038",7:20:00,440
2599,330781360,250006954,"44.8300188639125,-0.603297388952739","47.2249200833962,5.96476126928613",44.8300188639125,-0.603297388952739,47.2249200833962,5.96476126928613,330781360-250006954,"-0.603297388952739,44.8300188639125-5.96476126928613,47.2249200833962",7:20:00,440
2600,640000162,750120016,"43.4831123974295,-1.48230729819466","48.8380976694563,2.34424407470017",43.4831123974295,-1.48230729819466,48.8380976694563,2.34424407470017,640000162-750120016,"-1.48230729819466,43.4831123974295-2.34424407470017,48.8380976694563",7:20:00,440
2601,640000162,750100125,"43.4831123974295,-1.48230729819466","48.8401867523797,2.36319606659128",43.4831123974295,-1.48230729819466,48.8401867523797,2.36319606659128,640000162-750100125,"-1.48230729819466,43.4831123974295-2.36319606659128,48.8401867523797",7:21:00,441
2602,860000223,680000684,"46.5622968867322,0.379943441285861","48.0773323152992,7.33619160182096",46.5622968867322,0.379943441285861,48.0773323152992,7.33619160182096,860000223-680000684,"0.379943441285861,46.5622968867322-7.33619160182096,48.0773323152992",7:21:00,441
2603,130780521,750000549,"43.3790936619422,5.36104667410839","48.8783047798995,2.37808843367725",43.3790936619422,5.36104667410839,48.8783047798995,2.37808843367725,130780521-750000549,"5.36104667410839,43.3790936619422-2.37808843367725,48.8783047798995",7:21:00,441
2604,130783293,750000499,"43.2921827109591,5.40210784602733","48.8302146671579,2.34096760180631",43.2921827109591,5.40210784602733,48.8302146671579,2.34096760180631,130783293-750000499,"5.40210784602733,43.2921827109591-2.34096760180631,48.8302146671579",7:21:00,441
2606,340015502,920100039,"43.6024922940585,3.91428695033118","48.907535090038,2.3084903884373",43.6024922940585,3.91428695033118,48.907535090038,2.3084903884373,340015502-920100039,"3.91428695033118,43.6024922940585-2.3084903884373,48.907535090038",7:21:00,441
2607,750120016,640000162,"48.8380976694563,2.34424407470017","43.4831123974295,-1.48230729819466",48.8380976694563,2.34424407470017,43.4831123974295,-1.48230729819466,750120016-640000162,"2.34424407470017,48.8380976694563--1.48230729819466,43.4831123974295",7:21:00,441
2608,340782085,750000549,"43.6293421830654,3.86109562857508","48.8783047798995,2.37808843367725",43.6293421830654,3.86109562857508,48.8783047798995,2.37808843367725,340782085-750000549,"3.86109562857508,43.6293421830654-2.37808843367725,48.8783047798995",7:21:00,441
2609,640780946,930300025,"43.3237674948806,-0.350430204816629","48.9053098427993,2.39021276397707",43.3237674948806,-0.350430204816629,48.9053098427993,2.39021276397707,640780946-930300025,"-0.350430204816629,43.3237674948806-2.39021276397707,48.9053098427993",7:21:00,441
2610,750000549,340015502,"48.8783047798995,2.37808843367725","43.6024922940585,3.91428695033118",48.8783047798995,2.37808843367725,43.6024922940585,3.91428695033118,750000549-340015502,"2.37808843367725,48.8783047798995-3.91428695033118,43.6024922940585",7:21:00,441
